Stn Name,Type,Color,Stn No,lat,lng
DOVER MRT STATION,MRT,GREEN,EW22,1.311405293,103.7786522
DOWNTOWN MRT STATION,MRT,BLUE,DT17,1.27944619,103.8528356
ESPLANADE MRT STATION,MRT,YELLOW,CC3,1.293321608,103.8554985
EUNOS MRT STATION,MRT,GREEN,EW7,1.319778952,103.9032339
EXPO MRT STATION,LRT,OTHERS,CG1,1.334549778,103.9615134
EXPO MRT STATION,MRT,BLUE,DT35,1.335382137,103.9623407
FAJAR LRT STATION,LRT,OTHERS,BP10,1.384520796,103.7708268
FARMWAY LRT STATION,LRT,OTHERS,SW2,1.397170196,103.8892882
FARRER PARK MRT STATION,MRT,PURPLE,NE8,1.31235984,103.8541717
FARRER ROAD MRT STATION,MRT,YELLOW,CC20,1.317510612,103.8075929
FERNVALE LRT STATION,LRT,OTHERS,SW5,1.391885888,103.8762959
FORT CANNING MRT STATION,MRT,BLUE,DT20,1.292478928,103.8443255
GEYLANG BAHRU MRT STATION,MRT,BLUE,DT24,1.321505838,103.8718904
GUL CIRCLE MRT STATION,MRT,GREEN,EW30,1.319505215,103.6605988
HARBOURFRONT MRT STATION,MRT,PURPLE,NE1,1.26547264,103.821446
HARBOURFRONT MRT STATION,MRT,YELLOW,CC29,1.26547264,103.821446
HAW PAR VILLA MRT STATION,MRT,YELLOW,CC25,1.282542157,103.7818234
HILLVIEW MRT STATION,MRT,BLUE,DT3,1.362344869,103.7674369
HOLLAND VILLAGE MRT STATION,MRT,YELLOW,CC21,1.31183479,103.7962016
HOUGANG MRT STATION,MRT,PURPLE,NE14,1.371292292,103.8923636
JALAN BESAR MRT STATION,MRT,BLUE,DT22,1.305403642,103.8554713
JELAPANG LRT STATION,LRT,OTHERS,BP12,1.386703025,103.7645235
JOO KOON MRT STATION,MRT,GREEN,EW29,1.327717173,103.6784167
JURONG EAST MRT STATION,MRT,GREEN,EW24,1.33315262,103.7423112
JURONG EAST MRT STATION,MRT,RED,NS1,1.33315262,103.7423112
KADALOOR LRT STATION,LRT,OTHERS,PE5,1.399584853,103.9164619
KAKI BUKIT MRT STATION,MRT,BLUE,DT28,1.334967302,103.9084393
KALLANG MRT STATION,MRT,GREEN,EW10,1.31148891,103.8713766
KANGKAR LRT STATION,LRT,OTHERS,SE4,1.383978902,103.9021539
KEAT HONG LRT STATION,LRT,OTHERS,BP3,1.378602766,103.7490799
KEMBANGAN MRT STATION,MRT,GREEN,EW6,1.321038249,103.9129282
KENT RIDGE MRT STATION,MRT,YELLOW,CC24,1.293462633,103.7846438
KHATIB MRT STATION,MRT,RED,NS14,1.41738337,103.83298
KING ALBERT PARK MRT STATION,MRT,BLUE,DT6,1.335665121,103.7838201
KOVAN MRT STATION,MRT,PURPLE,NE13,1.360179171,103.8850503
KRANJI MRT STATION,MRT,RED,NS7,1.425177699,103.7621874
KUPANG LRT STATION,LRT,OTHERS,SW3,1.398212828,103.881242
LABRADOR PARK MRT STATION,MRT,YELLOW,CC27,1.272332732,103.8029471
LAKESIDE MRT STATION,MRT,GREEN,EW26,1.344259249,103.7209802
LAVENDER MRT STATION,MRT,GREEN,EW11,1.30735702,103.8628215
LAYAR LRT STATION,LRT,OTHERS,SW6,1.392079839,103.8800158
LITTLE INDIA MRT STATION,MRT,BLUE,DT12,1.303916484,103.8524167
LITTLE INDIA MRT STATION,MRT,PURPLE,NE7,1.307198223,103.8485807
LORONG CHUAN MRT STATION,MRT,YELLOW,CC14,1.351612171,103.8641434
MACPHERSON MRT STATION,MRT,YELLOW,CC10,1.326345372,103.8902718
MACPHERSON MRT STATION,MRT,BLUE,DT26,1.326076883,103.8893356
MARINA BAY MRT STATION,MRT,RED,NS27,1.276427355,103.8545925
MARINA BAY MRT STATION,LRT,OTHERS,CE2,1.276150637,103.8550886
MARINA SOUTH PIER MRT STATION,MRT,RED,NS28,1.271336711,103.8628525
MARSILING MRT STATION,MRT,RED,NS8,1.432514421,103.77409
MARYMOUNT MRT STATION,MRT,YELLOW,CC16,1.348707263,103.8394214
MATTAR MRT STATION,MRT,BLUE,DT25,1.326876715,103.8832341
MERIDIAN LRT STATION,LRT,OTHERS,PE2,1.396912053,103.9089277
MOUNTBATTEN MRT STATION,MRT,YELLOW,CC7,1.306201905,103.8825153
NEWTON MRT STATION,MRT,BLUE,DT11,1.313607102,103.8378098
NEWTON MRT STATION,MRT,RED,NS21,1.3123201,103.8379841
NIBONG LRT STATION,LRT,OTHERS,PW5,1.411870458,103.9002935
NICOLL HIGHWAY MRT STATION,MRT,YELLOW,CC5,1.299766835,103.8636292
