address,lat,lng
166 YISHUN RING RD,1.4363075,103.8316116
879 YISHUN ST 81,1.4143978,103.8362536
725 YISHUN ST 71,1.4270287,103.8307367
167 YISHUN RING RD,1.4365889,103.8325225
715 YISHUN ST 71,1.4268343,103.8270731
655 YISHUN AVE 4,1.422685,103.839537
868 YISHUN ST 81,1.4136831,103.8373253
718 YISHUN ST 71,1.42677,103.8283736
288 YISHUN AVE 6,1.439977,103.837548
646 YISHUN ST 61,1.4221191,103.8376274
174 YISHUN AVE 7,1.4374434,103.8318144
657 YISHUN AVE 4,1.4222826,103.8393559
662 YISHUN AVE 4,1.4203877,103.8403296
760 YISHUN ST 72,1.4259246,103.8325257
717 YISHUN ST 71,1.4258361,103.8281245
790 YISHUN AVE 2,1.4200839,103.833648
625 YISHUN ST 61,1.4181524,103.8360611
636 YISHUN ST 61,1.4197521,103.8393106
626 YISHUN ST 61,1.4174622,103.8358079
663 YISHUN AVE 4,1.4198036,103.8398767
637 YISHUN ST 61,1.4201264,103.8389323
786 YISHUN RING RD,1.421454,103.831947
173 YISHUN AVE 7,1.4370135,103.8309352
719 YISHUN ST 71,1.4268389,103.8290981
311 YISHUN RING RD,1.4314061,103.8410769
651 YISHUN AVE 4,1.4235675,103.8394013
730 YISHUN ST 71,1.4271747,103.8315206
634 YISHUN ST 61,1.4189945,103.8392812
713 YISHUN ST 71,1.4274744,103.8273638
716 YISHUN ST 71,1.4264076,103.827649
660 YISHUN AVE 4,1.4219282,103.8403296
435 YISHUN AVE 6,1.4214438,103.8475762
389 YISHUN AVE 6,1.4296553,103.8483915
425 YISHUN AVE 11,1.4222482,103.8484553
395 YISHUN RING RD,1.4288549,103.8473045
433 YISHUN AVE 6,1.4210047,103.8473951
423 YISHUN AVE 11,1.42269,103.8481197
404 YISHUN AVE 6,1.4265739,103.8483915
644 YISHUN ST 61,1.421744,103.8373836
388 YISHUN RING RD,1.4291853,103.8472592
407 YISHUN AVE 6,1.4259484,103.8487085
714 YISHUN ST 71,1.4271337,103.8278692
329 YISHUN RING RD,1.4303694,103.8426168
875 YISHUN ST 81,1.4148379,103.8362536
427 YISHUN AVE 11,1.421941,103.8484389
756 WOODLANDS AVE 4,1.4457024,103.793055
777 WOODLANDS CRES,1.4480107,103.7996652
758 WOODLANDS AVE 6,1.4460555,103.7953187
628B WOODLANDS RING RD,1.4341688,103.8005255
759 WOODLANDS AVE 6,1.4464231,103.7952282
761 WOODLANDS AVE 6,1.4464147,103.7965865
625B WOODLANDS DR 52,1.433428,103.800003
612 WOODLANDS AVE 4,1.4351094,103.7967676
625A WOODLANDS DR 52,1.4335839,103.8001633
680 WOODLANDS AVE 6,1.4397882,103.8023437
744 WOODLANDS CIRCLE,1.4429438,103.7957076
794 WOODLANDS DR 72,1.4426282,103.8034685
795 WOODLANDS DR 72,1.443094,103.8040931
664 WOODLANDS RING RD,1.4363504,103.7978542
735 WOODLANDS CIRCLE,1.4434015,103.7971298
623 WOODLANDS DR 52,1.4348177,103.7986944
606 WOODLANDS RING RD,1.4367042,103.7970166
752 WOODLANDS CIRCLE,1.4454721,103.7946849
763 WOODLANDS AVE 6,1.4454637,103.7960431
630 WOODLANDS RING RD,1.43464,103.8014763
644 WOODLANDS RING RD,1.4371343,103.8016574
643 WOODLANDS RING RD,1.4377215,103.8016574
616 WOODLANDS AVE 4,1.4343815,103.7957715
679 WOODLANDS AVE 6,1.4402882,103.8020196
506 WOODLANDS DR 14,1.4325034,103.7908819
557 WOODLANDS DR 53,1.4328336,103.7968581
634 WOODLANDS RING RD,1.4361542,103.8029025
555 WOODLANDS DR 53,1.4323271,103.7956809
633 WOODLANDS RING RD,1.4356432,103.8024497
504 WOODLANDS DR 14,1.4329409,103.7913346
632 WOODLANDS RING RD,1.4359,103.801754
638 WOODLANDS RING RD,1.4371982,103.8031968
505 WOODLANDS DR 14,1.4321347,103.7911535
547 WOODLANDS DR 16,1.430215,103.793055
538 WOODLANDS DR 16,1.429634,103.792059
671 WOODLANDS DR 71,1.439388,103.7988172
543 WOODLANDS DR 16,1.428339,103.7938247
576 WOODLANDS DR 16,1.4305217,103.7969034
545 WOODLANDS DR 16,1.4291098,103.7937794
540 WOODLANDS DR 16,1.4284571,103.7925117
544 WOODLANDS DR 16,1.4288941,103.793055
553 WOODLANDS DR 44,1.4315971,103.7950471
541 WOODLANDS DR 16,1.4280868,103.793055
550 WOODLANDS DR 44,1.4326997,103.7947754
672 WOODLANDS DR 71,1.439641,103.7998463
673 WOODLANDS DR 71,1.4391631,103.7999822
552 WOODLANDS DR 44,1.4319409,103.795172
546 WOODLANDS DR 16,1.4297691,103.7939605
539 WOODLANDS DR 16,1.4291186,103.7923306
582 WOODLANDS DR 16,1.4302348,103.7958168
580 WOODLANDS DR 16,1.4305261,103.796179
585 WOODLANDS DR 16,1.4293564,103.7954546
587 WOODLANDS DR 16,1.4286225,103.7954546
589 WOODLANDS DR 16,1.4278898,103.7952735
584 WOODLANDS DR 16,1.4296532,103.7949113
267 TOH GUAN RD,1.3410576,103.7447108
286A TOH GUAN RD,1.3387814,103.7457065
269 TOH GUAN RD,1.3414644,103.745519
270 TOH GUAN RD,1.3411973,103.7458875
288A JURONG EAST ST 21,1.3388494,103.7434209
62 TEBAN GDNS RD,1.3216123,103.7389179
65 TEBAN GDNS RD,1.3219768,103.7391894
737 JURONG WEST ST 75,1.3468073,103.7012728
328 TAH CHING RD,1.3369603,103.7226949
667C JURONG WEST ST 65,1.3411536,103.7022655
664C JURONG WEST ST 64,1.3381255,103.7030539
663D JURONG WEST ST 65,1.3388827,103.7022655
660A JURONG WEST ST 64,1.3357085,103.7045051
337C TAH CHING RD,1.3372082,103.7219248
338B KANG CHING RD,1.3382623,103.7219443
4C ST. GEORGE'S LANE,1.3224552,103.8607188
58 GEYLANG BAHRU,1.3232956,103.86805
17 JLN TENTERAM,1.328295,103.8599912
16 JLN TENTERAM,1.3281806,103.8593741
815 JELLICOE RD,1.3068711,103.8616176
15 FARRER PK RD,1.3110963,103.8517432
12 FARRER PK RD,1.3121932,103.8518338
2A UPP BOON KENG RD,1.3138711,103.8720817
2D UPP BOON KENG RD,1.3132838,103.8724441
3B UPP BOON KENG RD,1.3143059,103.8728065
38C BENDEMEER RD,1.3213406,103.8668427
38A BENDEMEER RD,1.3201933,103.8670053
39A BENDEMEER RD,1.320226,103.8663249
572 PASIR RIS ST 53,1.3735902,103.94559
741 PASIR RIS ST 71,1.3777502,103.9364917
743 PASIR RIS ST 71,1.3776642,103.9355626
761 PASIR RIS ST 71,1.3764287,103.9339311
101D PUNGGOL FIELD,1.3985575,103.9061667
173A PUNGGOL FIELD,1.3971649,103.9093692
106B PUNGGOL FIELD,1.3972472,103.9078606
105D EDGEFIELD PLAINS,1.397401,103.905293
176D EDGEFIELD PLAINS,1.397738,103.909498
107C EDGEFIELD PLAINS,1.3968849,103.9071942
196B PUNGGOL FIELD,1.39896,103.906947
171A EDGEDALE PLAINS,1.3945818,103.9123599
172A EDGEDALE PLAINS,1.3953196,103.9115443
204B PUNGGOL FIELD,1.398608,103.903342
603A PUNGGOL RD,1.4036223,103.9082399
604A PUNGGOL RD,1.4044443,103.907298
601A PUNGGOL CTRL,1.4023264,103.9074565
613B PUNGGOL DR,1.40425,103.908305
603B PUNGGOL RD,1.403182,103.9082817
615A EDGEFIELD PLAINS,1.4040941,103.9095474
614A EDGEFIELD PLAINS,1.4037965,103.9092667
7 COMMONWEALTH AVE,1.306442,103.7946849
3 HOLLAND CL,1.30826,103.796677
59 STRATHMORE AVE,1.2931824,103.8112565
17 DOVER CRES,1.3076785,103.782914
19 DOVER CRES,1.3078208,103.7836383
50 STRATHMORE AVE,1.2938915,103.8086755
49 STRATHMORE AVE,1.2941493,103.8083586
52 STRATHMORE AVE,1.2933452,103.808268
91 TANGLIN HALT RD,1.3007818,103.7994841
90 TANGLIN HALT RD,1.3006381,103.7990313
89 TANGLIN HALT RD,1.3012964,103.7990313
61A STRATHMORE AVE,1.2938744,103.8117546
28B DOVER CRES,1.3053608,103.7819406
28D DOVER CRES,1.3062182,103.7823707
18D HOLLAND DR,1.3099663,103.7925117
336 SEMBAWANG CRES,1.4469563,103.8157846
316 SEMBAWANG VISTA,1.4464833,103.8210374
493 ADMIRALTY LINK,1.4564961,103.8165091
486 ADMIRALTY LINK,1.4561147,103.816047
492 ADMIRALTY LINK,1.4564927,103.8170525
488 ADMIRALTY LINK,1.454964,103.816559
487 ADMIRALTY LINK,1.4556371,103.815988
489 ADMIRALTY LINK,1.454951,103.81693
490 ADMIRALTY LINK,1.4551514,103.8171838
238 COMPASSVALE WALK,1.3907061,103.8987664
230 COMPASSVALE WALK,1.388785,103.9013943
899C WOODLANDS DR 50,1.4365117,103.7954998
755 WOODLANDS AVE 4,1.4453348,103.7931456
503 WOODLANDS DR 14,1.4325723,103.7916062
734 WOODLANDS CIRCLE,1.4439831,103.7980353
645 WOODLANDS RING RD,1.437105,103.800918
748 WOODLANDS CIRCLE,1.4453219,103.7952282
624A WOODLANDS DR 52,1.4341746,103.7996496
751 WOODLANDS CIRCLE,1.4451078,103.7942321
622 WOODLANDS DR 52,1.43418,103.7987144
657 WOODLANDS RING RD,1.4367129,103.7985786
747 WOODLANDS CIRCLE,1.4431941,103.7950471
776 WOODLANDS CRES,1.4477849,103.8000766
760 WOODLANDS AVE 6,1.4468546,103.796677
610 WOODLANDS AVE 4,1.4353872,103.7963374
631 WOODLANDS RING RD,1.4354468,103.8015668
677 WOODLANDS AVE 6,1.4393016,103.8018685
628A WOODLANDS RING RD,1.4347162,103.8010235
621 WOODLANDS DR 52,1.4339273,103.7980353
615 WOODLANDS AVE 4,1.4340813,103.7968581
749 WOODLANDS CIRCLE,1.4445854,103.7945242
661 WOODLANDS RING RD,1.4354641,103.7987597
651 WOODLANDS RING RD,1.4383204,103.7997558
738 WOODLANDS CIRCLE,1.4442067,103.797492
614 WOODLANDS AVE 4,1.4345062,103.7963827
663 WOODLANDS RING RD,1.4362003,103.7983975
611 WOODLANDS RING RD,1.4354763,103.7967676
660 WOODLANDS RING RD,1.4354966,103.7994388
607 WOODLANDS RING RD,1.4366529,103.7964053
653 WOODLANDS RING RD,1.4379596,103.7987597
655 WOODLANDS RING RD,1.4375948,103.7983975
750 WOODLANDS AVE 4,1.444302,103.7939605
762 WOODLANDS AVE 6,1.4460504,103.7961337
624B WOODLANDS DR 52,1.4341733,103.799801
609 WOODLANDS RING RD,1.4359388,103.7961563
508 WOODLANDS DR 14,1.4321386,103.7905197
556 WOODLANDS DR 53,1.4329865,103.795862
639 WOODLANDS RING RD,1.4376386,103.8031968
577 WOODLANDS DR 16,1.4310012,103.7964959
463 CRAWFORD LANE,1.3051502,103.8622436
161 MEI LING ST,1.2914703,103.8034685
105 HENDERSON CRES,1.2901396,103.8225544
26 BENDEMEER RD,1.3184664,103.8630419
8 HOLLAND AVE,1.306882,103.7945038
2 HOLLAND AVE,1.3092147,103.7960431
322 BT BATOK ST 33,1.3617009,103.7475168
242 BT BATOK EAST AVE 5,1.350743,103.7557576
225 BT BATOK CTRL,1.348447,103.752573
220 BT BATOK EAST AVE 3,1.3475099,103.7546587
235 BT BATOK EAST AVE 5,1.3485615,103.756142
243 BT BATOK EAST AVE 5,1.349733,103.7562327
238 BT BATOK EAST AVE 5,1.3499261,103.7545128
316 BT BATOK ST 32,1.3606049,103.7469737
321 BT BATOK ST 33,1.3613345,103.7475168
360 BT BATOK ST 31,1.3610968,103.7505944
367 BT BATOK ST 31,1.3603687,103.7497798
423 BT BATOK WEST AVE 2,1.3620836,103.7447108
421 BT BATOK WEST AVE 2,1.3624494,103.7448013
408 BT BATOK WEST AVE 4,1.3648138,103.7449975
63 TELOK BLANGAH HTS,1.2748311,103.8108943
57 TELOK BLANGAH HTS,1.2746029,103.8125244
58 TELOK BLANGAH HTS,1.2750365,103.81343
56 TELOK BLANGAH HTS,1.2742378,103.8124338
51 TELOK BLANGAH DR,1.2735257,103.8100806
50 TELOK BLANGAH DR,1.2730871,103.8100803
75 TELOK BLANGAH DR,1.2749161,103.8087208
107 BT PURMEI RD,1.2732267,103.8246613
5 DELTA AVE,1.292287,103.827649
4 DELTA AVE,1.2918537,103.8266527
3 DELTA AVE,1.291766,103.82723
269B QUEEN ST,1.3001505,103.8538113
11 TECK WHYE LANE,1.3798232,103.7548213
25 TECK WHYE LANE,1.3780005,103.7551205
17 TECK WHYE LANE,1.3792536,103.7539437
324 CLEMENTI AVE 5,1.3150911,103.7660743
327 CLEMENTI AVE 5,1.3139175,103.7665269
506 WEST COAST DR,1.3125589,103.7608236
358 CLEMENTI AVE 2,1.3135373,103.7690618
511 WEST COAST DR,1.3103659,103.760371
349 CLEMENTI AVE 2,1.3159413,103.7710535
329 CLEMENTI AVE 2,1.3131084,103.7672512
317 CLEMENTI AVE 4,1.3179911,103.76449
316 CLEMENTI AVE 4,1.3184303,103.76449
601 CLEMENTI WEST ST 1,1.3047776,103.765169
603 CLEMENTI WEST ST 1,1.3049124,103.7672512
318 CLEMENTI AVE 4,1.317986,103.7653953
301 CLEMENTI AVE 4,1.3221245,103.7648974
347 CLEMENTI AVE 5,1.3171849,103.7706075
379 CLEMENTI AVE 5,1.3179359,103.7677943
707 CLEMENTI WEST ST 2,1.3063299,103.7623626
702 WEST COAST RD,1.307294,103.7609669
381 CLEMENTI AVE 5,1.3185204,103.7679754
205 CLEMENTI AVE 6,1.321114,103.7623626
11 HAIG RD,1.3147085,103.8966568
9 EUNOS CRES,1.321766,103.9027575
111 ALJUNIED CRES,1.3204205,103.884273
10 EUNOS CRES,1.3223009,103.9025671
102 ALJUNIED CRES,1.3205361,103.8825867
121 PAYA LEBAR WAY,1.32189,103.8826353
34 CASSIA CRES,1.3095876,103.8845353
122 GEYLANG EAST CTRL,1.3176904,103.8850203
54 PIPIT RD,1.324282,103.8875301
18 HOUGANG AVE 3,1.363201,103.8918795
112 HOUGANG AVE 1,1.3544325,103.8886174
114 HOUGANG AVE 1,1.3531119,103.8890705
321 HOUGANG AVE 5,1.3671186,103.8982227
109 HOUGANG AVE 1,1.3552337,103.8893423
322 HOUGANG AVE 5,1.3670512,103.8972259
319 HOUGANG AVE 5,1.3657345,103.896954
253 HOUGANG AVE 3,1.3604897,103.8921513
709 HOUGANG AVE 2,1.3671047,103.8881644
340 HOUGANG AVE 7,1.3703441,103.8977696
701 HOUGANG AVE 2,1.3660098,103.8899484
252 HOUGANG AVE 3,1.3601941,103.8926044
410 HOUGANG AVE 10,1.373934,103.8945753
355 HOUGANG AVE 7,1.3720476,103.8983059
336 HOUGANG AVE 7,1.3693517,103.8983586
711 HOUGANG AVE 2,1.3664195,103.8877219
411 HOUGANG AVE 10,1.3741687,103.8951417
354 HOUGANG AVE 7,1.3724597,103.8992195
710 HOUGANG AVE 2,1.3666668,103.8878925
408 PANDAN GDNS,1.3182625,103.7487841
402 PANDAN GDNS,1.3207458,103.7497798
414 PANDAN GDNS,1.3201012,103.7472453
112 JURONG EAST ST 13,1.3392767,103.735931
31 TEBAN GDNS RD,1.3203421,103.7389185
30 TEBAN GDNS RD,1.3208535,103.7390995
32 TEBAN GDNS RD,1.3218253,103.7400945
251 JURONG EAST ST 24,1.3430794,103.7397966
234 JURONG EAST ST 21,1.3399217,103.7416106
108 JURONG EAST ST 13,1.3382997,103.737085
233 JURONG EAST ST 21,1.3403469,103.7409092
